StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q34,Q35,Q56_1,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q89,Q90,Q91,Q92,Q103,Q93,Q94,Q75,Q76,Q77,Q78,Q79,Q80,Q82,Q83,Q84,Q85,Q86,Q87,Q96,Q95,ApproachB_Feedback,ApproachC_Feedback,ApproachA_Feedback,Create New Field or Choose From Dropdown...,ApproachB_Error,ApproachC_Error
2025-05-12 14:31:15,2025-05-12 14:42:47,IP Address,12.3.57.3,100,691,True,2025-05-12 14:42:47,R_3awRQSsiRUz6nNn,,,,,25.8153,-80.3577,anonymous,EN,35,Male,Italian,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Moderate,Low,Low,Low,,Low,Moderate,Moderate,Low,Very Low,Moderate,Low,Low,Low,Low,Moderate,Low,Low,Moderate,Feedback Approach B,,,,"Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: ""C"" is correct — a vessel is only considered ""power-driven"" when its propelling machinery is actively in use, not just onboard.

Question: A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?
Feedback: ""A"" is correct — additional lights may be shown if they do not impair the visibility or character of prescribed ones.

Question: Which signal should be used to indicate that your vessel is in distress?
Feedback: ""D"" is correct — continuous fog whistle blasts indicate a vessel in distress in restricted visibility.",,,
2025-05-12 14:39:03,2025-05-12 14:45:14,IP Address,47.207.50.141,100,371,True,2025-05-12 14:45:15,R_3CIuNk21axYFou6,,,,,25.8153,-80.3577,anonymous,EN,53,Male,Italian,with propelling machinery onboard whether in use or not,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Low,Low,Low,Low,,Low,Low,Low,Low,Low,Low,Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Feedback Approach B,,Feedback could not be generated.,,"Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: ""C"" is correct — a vessel is only considered ""power-driven"" when its propelling machinery is actively in use, not just onboard.

Question: Which signal should be used to indicate that your vessel is in distress?
Feedback: ""D"" is correct — continuous fog whistle blasts indicate a vessel in distress in restricted visibility.",,,
2025-05-12 14:40:35,2025-05-12 14:50:01,IP Address,12.63.245.19,100,566,True,2025-05-12 14:50:02,R_5haJykQoXsc6g22,,,,,29.7318,-95.4031,anonymous,EN,35,Male,Italian,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Extremely Low,Extremely Low,Extremely Low,Extremely Low,,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Extremely Low,Feedback Approach A,"none of the feedback are beneficial seems all the answers are wrong, but we have to choose 1 of them. ",Feedback could not be generated.,"Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: Feedback not generated. Please review the relevant COLREG rule.","Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: ""C"" is correct — a vessel is only considered ""power-driven"" when its propelling machinery is actively in use, not just onboard.",,,
2025-05-12 14:49:21,2025-05-12 15:02:03,IP Address,12.3.56.243,100,761,True,2025-05-12 15:02:03,R_3JKOamlXucwVT4a,,,,,25.8153,-80.3577,anonymous,EN,28,Male,Italian,with propelling machinery onboard whether in use or not,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Low,Low,Low,Low,,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Feedback Approach B,,,"Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?
Feedback: Feedback not generated. Please review the relevant COLREG rule.","Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: ""C"" is correct — a vessel is only considered ""power-driven"" when its propelling machinery is actively in use, not just onboard.

Question: A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?
Feedback: ""A"" is correct — additional lights may be shown if they do not impair the visibility or character of prescribed ones.",,,
2025-05-12 12:36:56,2025-05-12 12:37:26,IP Address,151.124.104.178,3,29,False,2025-05-12 15:18:08,R_3rMNiXZxq5gk505,,,,,37.751,-97.822,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12 13:02:00,2025-05-12 13:02:24,IP Address,151.124.104.178,11,24,False,2025-05-12 15:18:08,R_39o8LkuJ836rNXz,,,,,37.751,-97.822,anonymous,EN,49,Male,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12 14:20:47,2025-05-12 14:27:56,IP Address,151.124.104.179,11,429,False,2025-05-12 15:18:08,R_77zs9tkhcgbRLyh,,,,,35.0761,-89.8547,anonymous,EN,36,Male,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12 15:05:09,2025-05-12 15:06:53,IP Address,151.124.105.181,3,104,False,2025-05-12 15:18:08,R_7FrEycC1BoWbZ7q,,,,,37.751,-97.822,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12 13:09:12,2025-05-12 13:09:31,IP Address,151.124.104.183,11,19,False,2025-05-12 15:18:08,R_3cotMZf8ydAANnX,,,,,37.751,-97.822,anonymous,EN,42,Male,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12 15:14:52,2025-05-12 15:15:07,IP Address,151.124.104.180,11,14,False,2025-05-12 15:18:08,R_3Oyhk5yq0cM4kEN,,,,,37.751,-97.822,anonymous,EN,26,Female,Mexican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12 14:00:34,2025-05-12 14:00:52,IP Address,92.151.236.89,3,18,False,2025-05-12 15:18:09,R_2ohWw0OztLBxI5d,,,,,43.7479,7.3969,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12 14:47:07,2025-05-12 15:14:27,IP Address,12.3.57.3,95,1640,False,2025-05-12 15:18:09,R_7eb4JlvTuvP5y0o,,,,,25.8153,-80.3577,anonymous,EN,48,Male,Italian,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Maintain course and speed and do not sound any whistle signals,All of the above,Low,Low,Low,Low,,Low,Low,Low,Low,Low,Low,Low,Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,,,Feedback could not be generated.,"Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: By radar alone, you detect a vessel ahead on a collision course, about 3 miles distant. Your radar plot shows this to be a meeting situation. Which action should you take?
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: Which signal should be used to indicate that your vessel is in distress?
Feedback: Feedback not generated. Please review the relevant COLREG rule.","Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: ""C"" is correct — a vessel is only considered ""power-driven"" when its propelling machinery is actively in use, not just onboard.

Question: By radar alone, you detect a vessel ahead on a collision course, about 3 miles distant. Your radar plot shows this to be a meeting situation. Which action should you take?
Feedback: ""A"" is correct — in a meeting situation, both vessels should turn to starboard to pass safely port-to-port.

Question: A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?
Feedback: ""A"" is correct — additional lights may be shown if they do not impair the visibility or character of prescribed ones.

Question: Which signal should be used to indicate that your vessel is in distress?
Feedback: ""D"" is correct — continuous fog whistle blasts indicate a vessel in distress in restricted visibility.",,,
2025-05-12 12:38:58,2025-05-12 12:39:50,IP Address,151.124.104.178,11,52,False,2025-05-12 15:18:09,R_1pgU1Wbod563qcB,,,,,37.751,-97.822,anonymous,EN,35,Male,Australian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12 12:52:54,2025-05-12 14:02:01,IP Address,47.207.50.141,39,4147,False,2025-05-12 15:18:09,R_1ITJmafeuDNOzst,,,,,27.96,-82.4614,anonymous,EN,28,Male,Venezuelan,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12 12:59:04,2025-05-12 15:17:34,IP Address,151.124.104.180,95,8310,False,2025-05-12 15:18:10,R_6F5QYMbCF0ioLlR,,,,,37.751,-97.822,anonymous,EN,66,Male,Italian,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Low,Moderate,Moderate,Moderate,,Moderate,Low,Very Low,Very Low,Moderate,Moderate,Low,Low,Very Low,Low,Low,Low,Low,Very Low,,,,,,,,
2025-05-12 13:23:48,2025-05-12 13:32:53,IP Address,151.124.104.178,39,545,False,2025-05-12 15:18:10,R_1PTsqC7kKg3BKS9,,,,,37.751,-97.822,anonymous,EN,30,Male,Japanese,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Slow your engines and let the other vessel pass ahead of you,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12 12:18:33,2025-05-12 15:03:39,IP Address,151.124.109.182,39,9906,False,2025-05-12 15:18:11,R_5D7RVfxsbF2KIs8,,,,,37.751,-97.822,anonymous,EN,25,Male,Italian,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Slow your engines and let the other vessel pass ahead of you,A vessel constrained by her draft,Maintain course and speed and sound at least five short blasts of the whistle,All of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12 13:45:31,2025-05-12 13:57:57,IP Address,151.124.104.180,39,745,False,2025-05-12 15:18:11,R_5F83PKXu66Nt3LX,,,,,37.751,-97.822,anonymous,EN,33,Male,Italian,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12 14:59:55,2025-05-12 15:17:49,IP Address,151.124.104.177,39,1074,False,2025-05-12 15:18:12,R_524oyRVnySRnFnt,,,,,37.751,-97.822,anonymous,EN,58,Male,Italian,with propelling machinery onboard whether in use or not,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Slow your engines and let the other vessel pass ahead of you,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12 13:54:08,2025-05-12 13:55:00,IP Address,151.124.104.182,11,51,False,2025-05-12 15:18:13,R_6tLsMFd1ijbHdL8,,,,,37.751,-97.822,anonymous,EN,39,Male,Italian,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2025-05-12 15:29:14,2025-05-12 15:50:59,IP Address,151.124.104.180,100,1305,True,2025-05-12 15:51:00,R_3czRUtxlfKpghek,,,,,37.751,-97.822,anonymous,EN,26,Female,Mexican,with propelling machinery onboard whether in use or not,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Maintain course and speed and sound at least five short blasts of the whistle,All of the above,High,High,High,High,,High,High,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Feedback Approach B,"feedback was not available on approach A and C, some questions that were correct indicated wrong even tough the answer was showing the same answer that had I selected.",Feedback could not be generated.,"Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: By radar alone, you detect a vessel ahead on a collision course, about 3 miles distant. Your radar plot shows this to be a meeting situation. Which action should you take?
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?
Feedback: Feedback not generated. Please review the relevant COLREG rule.","Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: ""C"" is correct — a vessel is only considered ""power-driven"" when its propelling machinery is actively in use, not just onboard.

Question: By radar alone, you detect a vessel ahead on a collision course, about 3 miles distant. Your radar plot shows this to be a meeting situation. Which action should you take?
Feedback: ""A"" is correct — in a meeting situation, both vessels should turn to starboard to pass safely port-to-port.

Question: A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?
Feedback: ""A"" is correct — additional lights may be shown if they do not impair the visibility or character of prescribed ones.",,,
2025-05-12 15:44:08,2025-05-12 15:53:44,IP Address,151.124.105.179,100,576,True,2025-05-12 15:53:45,R_1ZC5HNvsbll54q3,,,,,37.751,-97.822,anonymous,EN,30,Male,Italian,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel aground,Turn the vessel to starboard,All of the above,Moderate,Low,Low,Low,,Low,Low,Low,Low,Low,Moderate,Low,Low,Low,Low,Low,Low,Low,Low,Feedback Approach C,,Feedback could not be generated.,"Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: You have sighted three red lights in a vertical line on another vessel dead ahead at night. Which vessel would display these lights?
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?
Feedback: Feedback not generated. Please review the relevant COLREG rule.","Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: ""C"" is correct — a vessel is only considered ""power-driven"" when its propelling machinery is actively in use, not just onboard.

Question: You have sighted three red lights in a vertical line on another vessel dead ahead at night. Which vessel would display these lights?
Feedback: ""D"" is correct — three vertical lights in red-white-red indicate a vessel constrained by her draft.

Question: A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?
Feedback: ""A"" is correct — additional lights may be shown if they do not impair the visibility or character of prescribed ones.",,,
2025-05-12 15:44:57,2025-05-12 15:59:59,IP Address,151.124.104.181,100,901,True,2025-05-12 16:00:00,R_5AYwVzUkKNpHRRi,,,,,37.751,-97.822,anonymous,EN,35,Male,Italian,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly off your starboard beam,Reduce your speed to the minimum at which it can be kept on course,A vessel aground,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Very Low,Low,Low,Very Low,,Very Low,Low,Very Low,Very Low,Very Low,Low,Very Low,Low,Very Low,Low,Low,Very Low,Very Low,Low,Feedback Approach B,,Feedback could not be generated.,"Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: You have sighted three red lights in a vertical line on another vessel dead ahead at night. Which vessel would display these lights?
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: Which describes a head-on situation?
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: Which signal should be used to indicate that your vessel is in distress?
Feedback: Feedback not generated. Please review the relevant COLREG rule.","Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: ""C"" is correct — a vessel is only considered ""power-driven"" when its propelling machinery is actively in use, not just onboard.

Question: Which describes a head-on situation?
Feedback: ""C"" is correct — seeing both sidelights of another vessel means you're on a direct collision course (head-on).

Question: You have sighted three red lights in a vertical line on another vessel dead ahead at night. Which vessel would display these lights?
Feedback: ""D"" is correct — three vertical lights in red-white-red indicate a vessel constrained by her draft.

Question: Which signal should be used to indicate that your vessel is in distress?
Feedback: ""D"" is correct — continuous fog whistle blasts indicate a vessel in distress in restricted visibility.",,,
2025-05-12 15:49:13,2025-05-12 16:01:48,IP Address,151.124.104.181,100,755,True,2025-05-12 16:01:49,R_1nNOVpW0pCQ38Ha,,,,,37.751,-97.822,anonymous,EN,33,Male,Italian,with propelling machinery onboard whether in use or not,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Slow your engines and let the other vessel pass ahead of you,A vessel constrained by her draft,Maintain course and speed and sound at least five short blasts of the whistle,All of the above,Low,Low,Low,Low,,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Feedback Approach B,,Feedback could not be generated.,"Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: Your vessel is underway in reduced visibility. You hear the fog signal of another vessel about 30° on your starboard bow. If danger of collision exists, which action(s) are you required to take?
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: By radar alone, you detect a vessel ahead on a collision course, about 3 miles distant. Your radar plot shows this to be a meeting situation. Which action should you take?
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?
Feedback: Feedback not generated. Please review the relevant COLREG rule.","Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: ""C"" is correct — a vessel is only considered ""power-driven"" when its propelling machinery is actively in use, not just onboard.

Question: Your vessel is underway in reduced visibility. You hear the fog signal of another vessel about 30° on your starboard bow. If danger of collision exists, which action(s) are you required to take?
Feedback: ""A"" is correct — reducing speed to the minimum required to maintain course allows time to assess and react safely in limited visibility.

Question: By radar alone, you detect a vessel ahead on a collision course, about 3 miles distant. Your radar plot shows this to be a meeting situation. Which action should you take?
Feedback: ""A"" is correct — in a meeting situation, both vessels should turn to starboard to pass safely port-to-port.

Question: A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?
Feedback: ""A"" is correct — additional lights may be shown if they do not impair the visibility or character of prescribed ones.",,,
2025-05-12 15:45:54,2025-05-12 16:07:04,IP Address,151.124.105.179,100,1269,True,2025-05-12 16:07:05,R_1YEMUsiwzRYxPaY,,,,,37.751,-97.822,anonymous,EN,28,Male,Filipino,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Extremely Low,Extremely Low,Very Low,Very Low,,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Feedback Approach C,"Power driven vessels are vessels propelled by machinery. The ""Correct"" answer in question #1 is not even in the choices. If prower driven vessel with machinery is using propulsion or not, then do we consider a sailing vessel not using propulsion but her sails as a power driven vessel?",Feedback could not be generated.,"Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: Your vessel is underway in reduced visibility. You hear the fog signal of another vessel about 30° on your starboard bow. If danger of collision exists, which action(s) are you required to take?
Feedback: Feedback not generated. Please review the relevant COLREG rule.

Question: A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?
Feedback: Feedback not generated. Please review the relevant COLREG rule.","Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: ""C"" is correct — a vessel is only considered ""power-driven"" when its propelling machinery is actively in use, not just onboard.

Question: Your vessel is underway in reduced visibility. You hear the fog signal of another vessel about 30° on your starboard bow. If danger of collision exists, which action(s) are you required to take?
Feedback: ""A"" is correct — reducing speed to the minimum required to maintain course allows time to assess and react safely in limited visibility.

Question: A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?
Feedback: ""A"" is correct — additional lights may be shown if they do not impair the visibility or character of prescribed ones.",,,
2025-05-12 15:29:36,2025-05-12 16:22:55,IP Address,12.3.57.3,100,3199,True,2025-05-12 16:22:56,R_3jDoekwoR5IaM37,,,,,27.9528,-81.727,anonymous,EN,32,Male,Italian,with propelling machinery onboard whether in use or not,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Alter course to starboard to pass around the other vessel's stern,A vessel constrained by her draft,Turn the vessel to starboard,All of the above,Low,Low,Low,Low,,Low,Low,Low,Extremely Low,Very Low,Very Low,Low,Low,Low,Low,Low,Low,Low,Low,Feedback Approach A,,Feedback could not be generated.,,"Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: ""C"" is correct — a vessel is only considered ""power-driven"" when its propelling machinery is actively in use, not just onboard.

Question: Your vessel is underway in reduced visibility. You hear the fog signal of another vessel about 30° on your starboard bow. If danger of collision exists, which action(s) are you required to take?
Feedback: ""A"" is correct — reducing speed to the minimum required to maintain course allows time to assess and react safely in limited visibility.

Question: A vessel may exhibit lights other than those prescribed by the Rules as long as the additional lights meet which requirement(s)?
Feedback: ""A"" is correct — additional lights may be shown if they do not impair the visibility or character of prescribed ones.

Question: Which signal should be used to indicate that your vessel is in distress?
Feedback: ""D"" is correct — continuous fog whistle blasts indicate a vessel in distress in restricted visibility.",,,
2025-05-12 15:49:16,2025-05-12 16:23:41,IP Address,151.124.105.179,100,2064,True,2025-05-12 16:23:41,R_3IS3kE9gX1IAzGH,,,,,37.751,-97.822,anonymous,EN,37,Male,Italian,with propelling machinery in use,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Slow your engines and let the other vessel pass ahead of you,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Low,Low,Low,Low,,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Low,Feedback Approach B,,Feedback could not be generated.,,"Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: ""C"" is correct — a vessel is only considered ""power-driven"" when its propelling machinery is actively in use, not just onboard.

Question: Your vessel is underway in reduced visibility. You hear the fog signal of another vessel about 30° on your starboard bow. If danger of collision exists, which action(s) are you required to take?
Feedback: ""A"" is correct — reducing speed to the minimum required to maintain course allows time to assess and react safely in limited visibility.

Question: Which signal should be used to indicate that your vessel is in distress?
Feedback: ""D"" is correct — continuous fog whistle blasts indicate a vessel in distress in restricted visibility.",,,
2025-05-12 16:23:44,2025-05-12 16:26:19,IP Address,151.124.105.179,100,154,True,2025-05-12 16:26:20,R_3uPMrDUXozQKke3,,,,,37.751,-97.822,anonymous,EN,24,Male,Italian,with propelling machinery onboard whether in use or not,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Very Low,Very Low,Very Low,Very Low,,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Very Low,Feedback Approach B,,,,"Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: ""C"" is correct — a vessel is only considered ""power-driven"" when its propelling machinery is actively in use, not just onboard.",,,
2025-05-12 16:08:30,2025-05-12 16:42:43,IP Address,151.124.105.179,100,2052,True,2025-05-12 16:42:44,R_1PtySj5G99VAsRY,,,,,37.751,-97.822,anonymous,EN,49,Male,Italian,with propelling machinery onboard whether in use or not,from the nature of her work is unable to maneuver as required by the rules,"A vessel engaged in fishing while underway shall, so far as possible, keep out of the way of a vessel restricted in her ability to maneuver.",Both vessels alter course to starboard,Seeing both sidelights of a vessel directly ahead,Reduce your speed to the minimum at which it can be kept on course,A vessel constrained by her draft,Turn the vessel to starboard,do not impair the visibility or distinctive character of the prescribed lights,Low,Very Low,Low,Very Low,,Low,Low,Low,Very Low,Low,Low,Very Low,Low,Extremely Low,Extremely Low,Very Low,Low,Extremely Low,Extremely Low,Feedback Approach B,,,"Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: Feedback not generated. Please review the relevant COLREG rule.","Question: The term ""power-driven vessel"" refers to any vessel __________.
Feedback: ""C"" is correct — a vessel is only considered ""power-driven"" when its propelling machinery is actively in use, not just onboard.",,,
